name: fx68k
description: Full fx68k core test
files: /home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv /home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68kAlu.sv /home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/uaddrPla.sv
should_fail: 0
tags: fx68k
incdirs: 
top_module: 
rc: 1

/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:260:55: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:540:17: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:558:35: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:708:42: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:709:42: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:710:46: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:716:141: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:719:43: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:720:51: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:720:81: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:721:44: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:722:44: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:723:43: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:727:97: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:729:43: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:730:43: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:731:43: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:732:43: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:734:40: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:735:40: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:736:40: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:737:40: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:739:63: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:741:62: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:742:40: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:743:40: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:744:40: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:746:45: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:749:41: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:750:41: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:751:43: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:752:43: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:752:66: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:754:47: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:758:17: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:787:51: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:790:48: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:802:46: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:803:46: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:804:46: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:863:44: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:866:44: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:873:16: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:895:74: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:901:58: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:913:31: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:914:10: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:917:24: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:920:16: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:925:24: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:926:16: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:926:34: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:928:16: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:929:16: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:931:16: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:932:13: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:932:35: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:940:15: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:942:22: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:944:35: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:944:49: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:946:36: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:946:63: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:947:36: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:947:63: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:951:36: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:953:46: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:955:21: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:955:41: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:961:10: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:961:32: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:961:49: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:963:29: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:963:60: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:969:16: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:969:35: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:969:66: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:972:16: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:972:36: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:972:63: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:977:17: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:978:16: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:978:49: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:982:16: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:985:11: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:990:20: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:992:12: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:993:23: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:996:25: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:999:36: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:1009:17: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:1009:63: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:1013:19: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:1017:42: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:1019:27: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:1019:34: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:1022:12: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:1022:34: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:1022:57: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:1023:34: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:1030:35: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:1032:29: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:1037:1: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:1037:16: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:1037:36: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:1037:57: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:1045:1: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:1047:15: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:1047:37: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:1048:12: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:1051:32: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:1051:39: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:1063:65: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:1065:12: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:1065:94: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:1093:33: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:1094:29: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:1097:2: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:1099:24: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:1103:13: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:1104:6: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:1125:0: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:1125:22: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:1126:7: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:1127:7: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:1127:21: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:1128:14: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:1129:7: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:1130:14: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:1131:14: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:1133:8: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:1133:20: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:1134:15: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:1136:8: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:1137:8: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:1138:8: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:1139:15: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:1140:8: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:1140:21: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:1141:8: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:1141:21: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:1142:8: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:1142:21: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:1144:11: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:1145:11: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:1146:11: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:1148:18: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:1149:25: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:1160:3: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:1304:18: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:1306:28: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:1378:17: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:1379:57: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:1485:32: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:1487:22: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:1489:37: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:1531:26: error: node type: ERROR
/home/travis/build/SymbiFlow/sv-tests/third_party/cores/fx68k/fx68k.sv:2470:54: error: node type: ERROR
