name,files,tags,Slang,tree_sitter_verilog,Verilator,Yosys,Odin,sv_parser,Icarus,Sv2v_zachjs
sanity,/home/travis/build/SymbiFlow/sv-tests/tests/sanity.sv,sanity,True,True,True,True,False,True,True,True
binary_op_minus,/home/travis/build/SymbiFlow/sv-tests/tests/generated/binary_op/11.4.3--binary_op_minus.sv,11.4.3,True,True,True,False,False,True,False,True
binary_op_ge,/home/travis/build/SymbiFlow/sv-tests/tests/generated/binary_op/11.4.4--binary_op_ge.sv,11.4.4,True,True,True,False,False,True,False,True
binary_op_case_eq,/home/travis/build/SymbiFlow/sv-tests/tests/generated/binary_op/11.4.5--binary_op_case_eq.sv,11.4.5,True,True,True,False,False,True,False,True
binary_op_wild_eq,/home/travis/build/SymbiFlow/sv-tests/tests/generated/binary_op/11.4.6--binary_op_wild_eq.sv,11.4.6,True,True,False,False,False,True,False,True
binary_op_div,/home/travis/build/SymbiFlow/sv-tests/tests/generated/binary_op/11.4.3--binary_op_div.sv,11.4.3,True,True,True,False,False,True,False,True
binary_op_bit_xor,/home/travis/build/SymbiFlow/sv-tests/tests/generated/binary_op/11.4.8--binary_op_bit_xor.sv,11.4.8,True,True,True,False,False,True,False,True
binary_op_plus,/home/travis/build/SymbiFlow/sv-tests/tests/generated/binary_op/11.4.3--binary_op_plus.sv,11.4.3,True,True,True,False,False,True,False,True
binary_op_pow,/home/travis/build/SymbiFlow/sv-tests/tests/generated/binary_op/11.4.3--binary_op_pow.sv,11.4.3,True,True,True,False,False,True,False,True
binary_op_case_neq,/home/travis/build/SymbiFlow/sv-tests/tests/generated/binary_op/11.4.5--binary_op_case_neq.sv,11.4.5,True,True,True,False,False,True,False,True
binary_op_mul,/home/travis/build/SymbiFlow/sv-tests/tests/generated/binary_op/11.4.3--binary_op_mul.sv,11.4.3,True,True,True,False,False,True,False,True
binary_op_log_shl,/home/travis/build/SymbiFlow/sv-tests/tests/generated/binary_op/11.4.10--binary_op_log_shl.sv,11.4.10,True,True,True,False,False,True,False,True
binary_op_gt,/home/travis/build/SymbiFlow/sv-tests/tests/generated/binary_op/11.4.4--binary_op_gt.sv,11.4.4,True,True,True,False,False,True,False,True
binary_op_bit_xnor,/home/travis/build/SymbiFlow/sv-tests/tests/generated/binary_op/11.4.8--binary_op_bit_xnor.sv,11.4.8,True,True,True,False,False,True,False,True
binary_op_mod,/home/travis/build/SymbiFlow/sv-tests/tests/generated/binary_op/11.4.3--binary_op_mod.sv,11.4.3,True,True,True,False,False,True,False,True
binary_op_log_imp,/home/travis/build/SymbiFlow/sv-tests/tests/generated/binary_op/11.4.7--binary_op_log_imp.sv,11.4.7,True,True,True,False,False,True,False,True
binary_op_wild_neq,/home/travis/build/SymbiFlow/sv-tests/tests/generated/binary_op/11.4.6--binary_op_wild_neq.sv,11.4.6,True,True,False,False,False,True,False,True
binary_op_bit_or,/home/travis/build/SymbiFlow/sv-tests/tests/generated/binary_op/11.4.8--binary_op_bit_or.sv,11.4.8,True,True,True,False,False,True,False,True
binary_op_log_or,/home/travis/build/SymbiFlow/sv-tests/tests/generated/binary_op/11.4.7--binary_op_log_or.sv,11.4.7,True,True,True,False,False,True,False,True
binary_op_log_eq,/home/travis/build/SymbiFlow/sv-tests/tests/generated/binary_op/11.4.5--binary_op_log_eq.sv,11.4.5,True,True,True,False,False,True,False,True
binary_op_arith_shr,/home/travis/build/SymbiFlow/sv-tests/tests/generated/binary_op/11.4.10--binary_op_arith_shr.sv,11.4.10,True,True,True,False,False,True,False,True
